iter	Passed	Remaining
544	314930	840776
545	315777	840917
546	316604	840997
547	317354	840872
548	318154	840877
549	319006	841016
550	319788	840968
551	320669	841175
552	321479	841195
553	322346	841358
554	323124	841288
555	323946	841329
556	324625	840995
557	325512	841197
558	326234	840974
559	327057	841004
560	327796	840818
561	328657	840943
562	329529	841089
563	330322	841034
564	331083	840892
565	331865	840803
566	332603	840599
567	333415	840583
568	334224	840554
569	335005	840451
570	335689	840106
571	336582	840278
572	337497	840503
573	338403	840703
574	339338	840969
575	340159	840949
576	340981	840929
577	341779	840849
578	342563	840729
579	343519	841030
580	344380	841093
581	345126	840875
582	346007	840983
583	346860	841016
584	347752	841143
585	348622	841215
586	349606	841558
587	350587	841886
588	351534	842131
589	352560	842560
590	353713	843287
591	354531	843209
592	355359	843155
593	356204	843137
594	357021	843051
595	357848	842986
596	358742	843074
597	359530	842912
598	360447	843050
599	361223	842855
600	362084	842855
601	362929	842816
602	363828	842899
603	364707	842933
604	365644	843097
605	366437	842928
606	367276	842859
607	368122	842805
608	368967	842749
609	370051	843231
610	370931	843247
611	371816	843270
612	372685	843253
613	373568	843267
614	374408	843179
615	375300	843206
616	376159	843157
617	377069	843220
618	377940	843192
619	378952	843475
620	379913	843640
621	380792	843620
622	381778	843834
623	382631	843751
624	383514	843732
625	384477	843885
626	385485	844133
627	386316	843989
628	387221	844007
629	388049	843853
630	388883	843710
631	389764	843668
632	390656	843644
633	391508	843534
634	392287	843263
635	393165	843204
636	393955	842952
637	394994	843232
638	395846	843108
639	396715	843021
640	397538	842830
641	398277	842462
642	399151	842377
643	400063	842369
644	400963	842333
645	401836	842238
646	402676	842073
647	403504	841880
648	404366	841755
649	405162	841491
650	405994	841300
651	406789	841030
652	407641	840878
653	408515	840768
654	409613	841114
655	410406	840832
656	411336	840829
657	412214	840717
658	413120	840658
659	414028	840604
660	414898	840468
661	415748	840289
662	416591	840094
663	417498	840026
664	418388	839922
665	419187	839634
666	419944	839259
667	420865	839209
668	421752	839091
669	422624	838940
670	423465	838726
671	424381	838659
672	425204	838405
673	426165	838419
674	427083	838348
675	427932	838139
676	428702	837773
677	429576	837609
678	430396	837340
679	431262	837157
680	432115	836945
681	432906	836613
682	433755	836391
683	434714	836380
684	435593	836213
685	436374	835854
686	437326	835821
687	438260	835752
688	439154	835604
689	440307	835946
690	441208	835806
691	442102	835651
692	442905	835321
693	443730	835031
694	444604	834833
695	445410	834504
696	446300	834331
697	447235	834240
698	448044	833914
699	448902	833675
700	449765	833445
701	450618	833195
702	451520	833032
703	452285	832615
704	453188	832451
705	454038	832189
706	455038	832198
707	455974	832089
708	456915	831985
709	457837	831846
710	458664	831531
711	459541	831304
712	460359	830970
713	461228	830728
714	462122	830527
715	462957	830220
716	463798	829921
717	464640	829622
718	465632	829589
719	466571	829459
720	467565	829425
721	468369	829053
722	469122	828587
723	470048	828428
724	471047	828394
725	471941	828172
726	472921	828101
727	473873	827976
728	474699	827631
729	475487	827217
730	476391	827005
731	477281	826767
732	478067	826346
733	478936	826068
734	479675	825563
735	480566	825320
736	481443	825051
737	482340	824816
738	483121	824379
739	484106	824288
740	484926	823916
741	485737	823528
742	486660	823326
743	487539	823051
744	488316	822600
745	489158	822257
746	490058	822011
747	490836	821560
748	491678	821214
749	492568	820948
750	493424	820622
751	494278	820292
752	495162	820009
753	495965	819593
754	496860	819326
755	497692	818954
756	498724	818910
757	499585	818582
758	500477	818303
759	501313	817933
760	502153	817565
761	502935	817104
762	503880	816907
763	504809	816681
764	505632	816282
765	506520	815987
766	507403	815681
767	508252	815321
768	509142	815025
769	510004	814682
770	510975	814512
771	511886	814244
772	512730	813868
773	513697	813686
774	514671	813512
775	515652	813348
776	516545	813044
777	517402	812680
778	518427	812580
779	519245	812153
780	520124	811821
781	521069	811588
782	521986	811312
783	522870	810982
784	523614	810435
785	524528	810149
786	525325	809682
787	526191	809319
788	526974	808828
789	527907	808567
790	528777	808207
791	529634	807826
792	530490	807442
793	531272	806945
794	532137	806573
795	533095	806340
796	533925	805912
797	534684	805376
798	535517	804952
799	536309	804463
800	537192	804111
801	538028	803687
802	538898	803314
803	539793	802976
804	540811	802820
805	541608	802332
806	542554	802065
807	543414	801670
808	544149	801089
809	545002	800682
810	545825	800230
811	546726	799890
812	547588	799492
813	548425	799056
814	549200	798530
815	550033	798087
816	550891	797680
817	551723	797234
818	552598	796848
819	553392	796345
820	554248	795930
821	555106	795518
822	556006	795164
823	556911	794815
824	557764	794392
825	558589	793927
826	559506	793592
827	560325	793118
828	561150	792649
829	562007	792226
830	562878	791823
831	563717	791372
832	564526	790879
833	565347	790402
834	566212	789985
835	567045	789522
836	567915	789111
837	568803	788722
838	569652	788279
839	570464	787784
840	571292	787310
841	572133	786852
842	572957	786372
843	573827	785953
844	574837	785724
845	575739	785346
846	576562	784860
847	577357	784334
848	578419	784170
849	579281	783734
850	580168	783329
851	581282	783230
852	582110	782744
853	583031	782382
854	583995	782076
855	584951	781757
856	585866	781383
857	586791	781021
858	587581	780478
859	588387	779954
860	589144	779367
861	590057	778985
862	590913	778526
863	591782	778084
864	592715	777724
865	593763	777514
866	594707	777167
867	595704	776886
868	596498	776339
869	597333	775847
870	598197	775390
871	599291	775229
872	600170	774791
873	601035	774331
874	601904	773877
875	602773	773421
876	603583	772889
877	604444	772422
878	605249	771882
879	606110	771412
880	606990	770967
881	607808	770442
882	608669	769970
883	609521	769486
884	610391	769024
885	611292	768600
886	612088	768042
887	612912	767520
888	613816	767097
889	614626	766556
890	615492	766084
891	616339	765587
892	617261	765182
893	618048	764610
894	618924	764147
895	619790	763670
896	620695	763240
897	621576	762780
898	622387	762234
899	623239	761737
900	623995	761122
901	624800	760566
902	625662	760079
903	626451	759502
904	627353	759062
905	628244	758608
906	628978	757963
907	629822	757452
908	630747	757036
909	631577	756505
910	632479	756059
911	633302	755518
912	634153	755010
913	635125	754645
914	636044	754217
915	636909	753722
916	637642	753071
917	638620	752709
918	639408	752122
919	640269	751621
920	641081	751060
921	641857	750457
922	642657	749883
923	643525	749387
924	644312	748795
925	645037	748131
926	645865	747587
927	646756	747114
928	647614	746604
929	648598	746237
930	649526	745804
931	650329	745227
932	651178	744702
933	652185	744356
934	653237	744062
935	654240	743709
936	655097	743189
937	655946	742659
938	656808	742145
939	657637	741591
940	658479	741052
941	659337	740529
942	660264	740084
943	661142	739582
944	661964	739019
945	662711	738370
946	663487	737753
947	664405	737293
948	665278	736784
949	666085	736200
950	666970	735701
951	667789	735129
952	668656	734610
953	669608	734182
954	670381	733559
955	671203	732988
956	672064	732458
957	672898	731900
958	673714	731320
959	674587	730803
960	675487	730314
961	676316	729747
962	677280	729325
963	678258	728917
964	679177	728444
965	680041	727912
966	680906	727380
967	681745	726819
968	682651	726329
969	683635	725922
970	684502	725389
971	685325	724808
972	686202	724286
973	687081	723763
974	687955	723234
975	688770	722644
976	689676	722148
977	690674	721747
978	691508	721174
979	692343	720602
980	693201	720053
981	694071	719516
982	694952	718989
983	695772	718398
984	696713	717933
985	697478	717285
986	698360	716756
987	699239	716225
988	700109	715683
989	700988	715149
990	701837	714585
991	702733	714068
992	703531	713450
993	704397	712900
994	705279	712367
995	706135	711807
996	707005	711260
997	707826	710663
998	708648	710067
999	709439	709439
1000	710334	708915
1001	711199	708360
1002	712222	707962
1003	713106	707424
1004	714046	706941
1005	714932	706404
1006	715684	705734
1007	716666	705290
1008	717518	704718
1009	718391	704166
1010	719275	703624
1011	720054	702978
1012	720892	702389
1013	721791	701860
1014	722577	701220
1015	723450	700664
1016	724308	700093
1017	725214	699568
1018	726088	699011
1019	726972	698463
1020	727851	697910
1021	728695	697323
1022	729479	696677
1023	730380	696143
1024	731278	695606
1025	732076	694972
1026	732981	694441
1027	733850	693874
1028	734840	693421
1029	735741	692883
1030	736619	692322
1031	737497	691761
1032	738367	691192
1033	739242	690626
1034	740233	690169
1035	741186	689675
1036	742024	689074
1037	742924	688529
1038	743765	687929
1039	744728	687441
1040	745604	686873
1041	746514	686334
1042	747317	685698
1043	748041	684988
1044	748879	684382
1045	749799	683851
1046	750564	683178
1047	751359	682532
1048	752216	681942
1049	753070	681349
1050	753959	680787
1051	754878	680251
1052	755758	679680
1053	756755	679212
1054	757690	678689
1055	758582	678126
1056	759437	677530
1057	760254	676899
1058	761142	676331
1059	761923	675668
1060	762859	675141
1061	763713	674542
1062	764621	673988
1063	765621	673516
1064	766532	672964
1065	767469	672435
